id,kc_id,metric_id,created_at
1,15,1,2025-05-30 03:40:20.796035+00
2,14,1,2025-05-30 03:40:20.796035+00
3,13,1,2025-05-30 03:40:20.796035+00
4,12,1,2025-05-30 03:40:20.796035+00
5,11,1,2025-05-30 03:40:20.796035+00
6,9,1,2025-05-30 03:40:20.796035+00
7,7,1,2025-05-30 03:40:20.796035+00
8,6,1,2025-05-30 03:40:20.796035+00
9,5,1,2025-05-30 03:40:20.796035+00
10,4,1,2025-05-30 03:40:20.796035+00
11,3,1,2025-05-30 03:40:20.796035+00
12,1,1,2025-05-30 03:40:20.796035+00
13,15,2,2025-05-30 03:40:20.796035+00
14,14,2,2025-05-30 03:40:20.796035+00
15,13,2,2025-05-30 03:40:20.796035+00
16,10,2,2025-05-30 03:40:20.796035+00
17,8,2,2025-05-30 03:40:20.796035+00
18,7,2,2025-05-30 03:40:20.796035+00
19,6,2,2025-05-30 03:40:20.796035+00
20,4,2,2025-05-30 03:40:20.796035+00
21,3,2,2025-05-30 03:40:20.796035+00
22,2,2,2025-05-30 03:40:20.796035+00
23,15,3,2025-05-30 03:40:20.796035+00
24,13,3,2025-05-30 03:40:20.796035+00
25,12,3,2025-05-30 03:40:20.796035+00
26,10,3,2025-05-30 03:40:20.796035+00
27,8,3,2025-05-30 03:40:20.796035+00
28,6,3,2025-05-30 03:40:20.796035+00
29,4,3,2025-05-30 03:40:20.796035+00
30,3,3,2025-05-30 03:40:20.796035+00
31,2,3,2025-05-30 03:40:20.796035+00
32,11,4,2025-05-30 03:40:20.796035+00
33,10,4,2025-05-30 03:40:20.796035+00
34,8,4,2025-05-30 03:40:20.796035+00
35,14,5,2025-05-30 03:40:20.796035+00
36,11,5,2025-05-30 03:40:20.796035+00
37,9,5,2025-05-30 03:40:20.796035+00
