id,user_id,kc_id,current_score,last_updated_at
556,317773cd-0635-48d2-99c7-8e89177b9748,2,6,2025-06-07 10:01:32.743199+00
569,317773cd-0635-48d2-99c7-8e89177b9748,8,2,2025-06-07 10:01:32.692311+00
554,317773cd-0635-48d2-99c7-8e89177b9748,1,7,2025-06-07 09:59:25.514949+00
566,317773cd-0635-48d2-99c7-8e89177b9748,5,3,2025-06-07 09:59:25.466139+00
553,317773cd-0635-48d2-99c7-8e89177b9748,4,2,2025-06-07 09:49:13.537161+00
555,317773cd-0635-48d2-99c7-8e89177b9748,6,2,2025-06-07 09:31:13.616316+00
540,cc2c8938-abed-482b-8c4b-7429da92c58b,14,4,2025-06-07 08:49:19.986621+00
536,cc2c8938-abed-482b-8c4b-7429da92c58b,6,3,2025-06-07 08:49:19.952141+00
538,cc2c8938-abed-482b-8c4b-7429da92c58b,3,3,2025-06-07 08:46:52.984748+00
539,cc2c8938-abed-482b-8c4b-7429da92c58b,2,5,2025-06-07 08:46:52.940048+00
537,cc2c8938-abed-482b-8c4b-7429da92c58b,4,6,2025-06-07 08:44:36.325564+00
547,cc2c8938-abed-482b-8c4b-7429da92c58b,1,1,2025-06-07 08:44:36.277801+00
546,cc2c8938-abed-482b-8c4b-7429da92c58b,8,2,2025-06-07 08:37:04.450422+00
541,cc2c8938-abed-482b-8c4b-7429da92c58b,13,1,2025-06-07 08:21:34.08584+00
535,c97f6352-ecfe-4014-b764-ffd24a27c808,14,1,2025-06-07 06:53:22.180505+00
533,c97f6352-ecfe-4014-b764-ffd24a27c808,8,2,2025-06-07 06:53:22.134307+00
532,c97f6352-ecfe-4014-b764-ffd24a27c808,7,1,2025-06-07 06:51:35.613363+00
531,c97f6352-ecfe-4014-b764-ffd24a27c808,3,1,2025-06-07 06:49:35.599812+00
523,c97f6352-ecfe-4014-b764-ffd24a27c808,1,4,2025-06-07 06:49:35.554157+00
518,c97f6352-ecfe-4014-b764-ffd24a27c808,6,6,2025-06-07 06:45:08.895601+00
519,c97f6352-ecfe-4014-b764-ffd24a27c808,2,4,2025-06-07 06:45:08.846358+00
521,c97f6352-ecfe-4014-b764-ffd24a27c808,4,3,2025-06-07 06:41:38.405449+00
503,a4510183-a90b-492c-af07-3008c5c58b44,1,4,2025-06-07 05:42:59.126084+00
504,a4510183-a90b-492c-af07-3008c5c58b44,14,5,2025-06-07 05:42:59.076065+00
501,a4510183-a90b-492c-af07-3008c5c58b44,6,5,2025-06-07 05:39:41.689417+00
506,a4510183-a90b-492c-af07-3008c5c58b44,4,4,2025-06-07 05:38:15.197786+00
510,a4510183-a90b-492c-af07-3008c5c58b44,2,1,2025-06-07 05:34:25.449958+00
500,a4510183-a90b-492c-af07-3008c5c58b44,3,4,2025-06-07 05:30:06.173504+00
