id,user_id,metric_id,current_value,last_updated_at
1338,317773cd-0635-48d2-99c7-8e89177b9748,3,1.7999999999999998,2025-06-07 10:01:33.057+00
1337,317773cd-0635-48d2-99c7-8e89177b9748,2,24,2025-06-07 10:01:32.976+00
1368,317773cd-0635-48d2-99c7-8e89177b9748,4,4,2025-06-07 10:01:32.916+00
1336,317773cd-0635-48d2-99c7-8e89177b9748,1,6300,2025-06-07 09:59:25.609+00
1304,cc2c8938-abed-482b-8c4b-7429da92c58b,5,8,2025-06-07 08:49:20.379+00
1292,cc2c8938-abed-482b-8c4b-7429da92c58b,2,48,2025-06-07 08:49:20.316+00
1291,cc2c8938-abed-482b-8c4b-7429da92c58b,1,8100,2025-06-07 08:49:20.249+00
1293,cc2c8938-abed-482b-8c4b-7429da92c58b,3,2.9999999999999996,2025-06-07 08:49:20.189+00
1320,cc2c8938-abed-482b-8c4b-7429da92c58b,4,4,2025-06-07 08:37:04.786+00
1290,c97f6352-ecfe-4014-b764-ffd24a27c808,5,2,2025-06-07 06:53:22.508+00
1250,c97f6352-ecfe-4014-b764-ffd24a27c808,2,36,2025-06-07 06:53:22.446+00
1249,c97f6352-ecfe-4014-b764-ffd24a27c808,1,7200,2025-06-07 06:53:22.389+00
1284,c97f6352-ecfe-4014-b764-ffd24a27c808,4,4,2025-06-07 06:53:22.327+00
1251,c97f6352-ecfe-4014-b764-ffd24a27c808,3,2.4,2025-06-07 06:53:22.277+00
1204,a4510183-a90b-492c-af07-3008c5c58b44,1,9900,2025-06-07 05:42:59.366+00
1216,a4510183-a90b-492c-af07-3008c5c58b44,5,10,2025-06-07 05:42:59.299+00
1205,a4510183-a90b-492c-af07-3008c5c58b44,2,38,2025-06-07 05:42:59.247+00
1206,a4510183-a90b-492c-af07-3008c5c58b44,3,2.0999999999999996,2025-06-07 05:39:41.948+00
1203,e4fc7154-17b6-4479-a0ed-b8a6ebb93445,5,2,2025-06-07 04:04:16.085+00
1158,e4fc7154-17b6-4479-a0ed-b8a6ebb93445,2,48,2025-06-07 04:04:16.033+00
1157,e4fc7154-17b6-4479-a0ed-b8a6ebb93445,1,5850,2025-06-07 04:04:15.961+00
1159,e4fc7154-17b6-4479-a0ed-b8a6ebb93445,3,3.4499999999999993,2025-06-07 04:04:15.893+00
1185,e4fc7154-17b6-4479-a0ed-b8a6ebb93445,4,4,2025-06-07 03:50:51.68+00
865,6ada970e-ca88-4e44-83ab-e06bd7afd48a,1,4950,2025-06-06 10:39:12.385+00
864,6ada970e-ca88-4e44-83ab-e06bd7afd48a,3,3.149999999999999,2025-06-06 10:39:12.321+00
863,6ada970e-ca88-4e44-83ab-e06bd7afd48a,2,42,2025-06-06 10:39:12.256+00
894,6ada970e-ca88-4e44-83ab-e06bd7afd48a,5,4,2025-06-06 10:27:03.185+00
877,6ada970e-ca88-4e44-83ab-e06bd7afd48a,4,4,2025-06-06 10:07:11.475+00
823,43f0d72a-7d21-4552-836c-52bd2fc5d8a2,3,2.25,2025-06-06 08:33:40.198+00
822,43f0d72a-7d21-4552-836c-52bd2fc5d8a2,2,42,2025-06-06 08:33:40.154+00
821,43f0d72a-7d21-4552-836c-52bd2fc5d8a2,1,9450,2025-06-06 08:33:40.111+00
831,43f0d72a-7d21-4552-836c-52bd2fc5d8a2,5,12,2025-06-06 08:23:07.39+00
784,5c900d72-a45f-423c-8d8c-ccc04000f13c,3,2.849999999999999,2025-06-06 06:57:42.713+00
783,5c900d72-a45f-423c-8d8c-ccc04000f13c,2,38,2025-06-06 06:57:42.67+00
785,5c900d72-a45f-423c-8d8c-ccc04000f13c,1,5400,2025-06-06 06:57:42.493+00
805,5c900d72-a45f-423c-8d8c-ccc04000f13c,5,2,2025-06-06 06:47:08.815+00
804,5c900d72-a45f-423c-8d8c-ccc04000f13c,4,2,2025-06-06 06:47:08.771+00
756,6091f972-ba67-48a8-8d8f-0634544c94e0,3,1.65,2025-06-06 05:28:44.457+00
755,6091f972-ba67-48a8-8d8f-0634544c94e0,2,28,2025-06-06 05:28:44.414+00
754,6091f972-ba67-48a8-8d8f-0634544c94e0,1,5400,2025-06-06 05:28:44.215+00
768,6091f972-ba67-48a8-8d8f-0634544c94e0,5,6,2025-06-06 05:26:33.554+00
731,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,1,5850,2025-06-06 04:27:03.032+00
736,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,5,8,2025-06-06 04:27:02.951+00
729,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,2,26,2025-06-06 04:27:02.874+00
730,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,3,0.9,2025-06-06 04:18:18.941+00
